Source|Domain|Locale|original|message
|||⛓️‍💥 OFFLINE : Sent=[%v] Packets Recv=[%v]|⛓️‍💥 OFFLINE : Sent=[%v] Packets Recv=[%v]
|||😀 ONLINE : Rtts=[%v]|😀 ONLINE : Rtts=[%v]
|||404 page not found|404 page not found
demon-pear||en-GB|Completed|Completed
demon-pear||en-GB|Authority Granted|Authority Granted
|||Home|Home
|||Host Worker - Check Hosts Availability|Host Worker - Check Hosts Availability
|||Login|Login
demon-pear||en-GB|List|List
|||Method=[%s] URI=[%s] Header[%v] Context[%+v] RequestURI=[%s]|Method=[%s] URI=[%s] Header[%v] Context[%+v] RequestURI=[%s]
|||[SECURITY] Method=[%s] URI=[%s] Header[%v]|[SECURITY] Method=[%s] URI=[%s] Header[%v]
|||Scheduled|Scheduled
demon-pear||en-GB|Scheduled Database Backup|Scheduled Database Backup
demon-pear||en-GB|Scheduled Database Maintenance - Prune Old Backups|Scheduled Database Maintenance - Prune Old Backups
demon-pear||en-GB|Started|Started
|||Route|Route
demon-pear||en-GB|Texts|Texts
|||Test|Test
|||This application provides for monitoring and notification of network devices.|This application provides for monitoring and notification of network devices.
|||View|View
|||demon-pear|demon-pear
|||dp|dp
|||login|login
|||[%v] - [%v] - Status Change [%v] -> [%v]|[%v] - [%v] - Status Change [%v] -> [%v]
|||[%v] DUPLICATE %v already in use|[%v] DUPLICATE %v already in use
